method,param,param_value,M,efConstruction,efSearch,recall_ann_20,latency_mean_ms,latency_p95_ms,latency_p50_ms,build_time_s,index_size_mb
native_fixed_baseline_A0,A0,"(16,200,30)",16,,,0.9954,0.0902,0.148,0.0638,,7.098
flat_exact,FLAT,-,-,-,-,1.0,0.6844,0.6844,0.6844,-,-
native_fixed,M,8,8,200,100,0.9984,0.1611,0.253,0.1177,0.62,6.956
adaptive_hnsw,M,8,8,200,50,0.994,0.1018,0.1627,0.069,0.86,6.956
native_fixed,M,12,12,200,100,0.9996,0.2934,0.5664,0.1442,0.85,7.027
adaptive_hnsw,M,12,12,200,20,0.9796,0.273,0.2358,0.0516,1.02,7.027
native_fixed,M,16,16,200,100,0.9998,0.6987,1.84,0.382,0.54,7.098
adaptive_hnsw,M,16,16,200,20,0.9879,0.5066,0.5348,0.0764,1.02,7.098
native_fixed,M,20,20,200,100,0.9999,1.6431,5.4857,0.3269,0.67,7.169
adaptive_hnsw,M,20,20,200,30,0.997,0.3536,0.4134,0.0759,0.45,7.169
native_fixed,M,24,24,200,100,1.0,0.2603,0.4856,0.1594,0.68,7.24
adaptive_hnsw,M,24,24,200,30,0.997,0.2351,0.2642,0.0701,0.42,7.24
native_fixed,M,28,28,200,100,0.9998,0.5166,0.7424,0.1603,1.58,7.311
adaptive_hnsw,M,28,28,200,30,0.9965,0.094,0.1562,0.0685,0.47,7.311
native_fixed,M,32,32,200,100,0.9998,0.2218,0.4203,0.1607,0.45,7.382
adaptive_hnsw,M,32,32,200,20,0.9896,0.0782,0.1301,0.0518,0.43,7.382
native_fixed,M,36,36,200,100,1.0,0.2432,0.4304,0.1576,0.4,7.453
adaptive_hnsw,M,36,36,200,30,0.9975,0.0994,0.1653,0.0674,0.53,7.453
native_fixed,efC,50,16,50,100,0.9981,0.2344,0.3799,0.1259,0.15,7.098
adaptive_hnsw,efC,50,16,50,20,0.9764,0.1011,0.1261,0.0424,0.16,7.098
native_fixed,efC,75,16,75,100,0.9991,1.3897,1.8168,0.1455,0.32,7.098
adaptive_hnsw,efC,75,16,75,20,0.9812,0.349,0.2142,0.0508,0.39,7.098
native_fixed,efC,100,16,100,100,0.9995,0.504,0.9479,0.1461,0.31,7.098
adaptive_hnsw,efC,100,16,100,20,0.983,0.1847,0.2207,0.0497,0.26,7.098
native_fixed,efC,150,16,150,100,0.9995,0.4645,0.9331,0.1551,0.51,7.098
adaptive_hnsw,efC,150,16,150,20,0.9832,0.4351,0.2583,0.0537,0.82,7.098
native_fixed,efC,200,16,200,100,0.9996,1.1041,2.4561,0.1734,0.7,7.098
adaptive_hnsw,efC,200,16,200,30,0.9959,0.1009,0.1782,0.064,0.57,7.098
native_fixed,efC,300,16,300,100,0.9998,0.2503,0.6475,0.1568,0.66,7.098
adaptive_hnsw,efC,300,16,300,30,0.996,0.2356,0.2492,0.0668,0.57,7.098
native_fixed,efC,400,16,400,100,1.0,0.979,1.6205,0.1699,1.13,7.098
adaptive_hnsw,efC,400,16,400,20,0.9862,0.1506,0.1685,0.0543,0.91,7.098
native_fixed,efS,20,16,200,20,0.985,0.1229,0.1488,0.0492,0.44,7.098
adaptive_hnsw,efS,20,16,50,20,0.9754,0.2264,0.1839,0.0475,0.23,7.098
native_fixed,efS,30,16,200,30,0.9959,0.141,0.2071,0.0647,1.07,7.098
adaptive_hnsw,efS,30,12,200,30,0.9904,0.1999,0.2213,0.061,0.4,7.027
native_fixed,efS,50,16,200,50,0.9985,0.2171,0.3,0.0931,0.81,7.098
adaptive_hnsw,efS,50,12,200,50,0.9981,0.3722,1.0058,0.2114,1.17,7.027
native_fixed,efS,75,16,200,75,0.9999,0.6667,2.3509,0.3339,0.44,7.098
adaptive_hnsw,efS,75,16,50,75,0.997,0.2616,0.3302,0.1008,0.4,7.098
native_fixed,efS,100,16,200,100,0.9998,0.2151,0.4185,0.1529,0.46,7.098
adaptive_hnsw,efS,100,8,200,100,0.9985,0.4547,0.8605,0.1295,2.79,6.956
native_fixed,efS,150,16,200,150,1.0,0.6317,1.3048,0.2051,1.31,7.098
adaptive_hnsw,efS,150,16,50,150,0.9991,1.037,3.0008,0.1909,0.16,7.098
native_fixed,efS,200,16,200,200,1.0,0.7792,1.7939,0.2476,1.26,7.098
adaptive_hnsw,efS,200,16,50,200,0.999,0.2985,0.7789,0.212,0.51,7.098
native_fixed,efS,300,16,200,300,1.0,1.0824,1.9813,0.3231,0.78,7.098
adaptive_hnsw,efS,300,16,50,300,0.9998,1.7702,4.3117,0.3159,0.08,7.098
native_fixed,efS,400,16,200,400,1.0,1.5036,3.761,0.3936,0.69,7.098
adaptive_hnsw,efS,400,8,200,400,1.0,0.6758,1.5914,0.3376,0.48,6.956
